FPR_Class2,TPR_Class2
0.18614,0.62202
0.19033,0.62202
0.19033,0.62500
0.19193,0.62500
0.19193,0.62798
0.19253,0.62798
0.19253,0.63095
0.20232,0.63095
0.20232,0.63393
0.20391,0.63393
0.20391,0.63690
0.20471,0.63690
0.20471,0.63988
0.20651,0.63988
0.20651,0.64286
0.20831,0.64286
0.20831,0.64583
0.21849,0.64583
0.21889,0.64583
0.22209,0.64583
0.22209,0.64881
0.22329,0.64881
0.22329,0.65179
0.22369,0.65179
0.22369,0.65476
0.22988,0.65476
0.22988,0.65774
0.24905,0.65774
0.24905,0.66071
0.26223,0.66071
0.26223,0.66369
0.26862,0.66369
0.26862,0.66667
0.27721,0.66667
0.27721,0.66964
0.28061,0.66964
0.28061,0.67262
0.29219,0.67262
0.29219,0.67560
0.30158,0.67560
0.30158,0.67857
0.30857,0.67857
0.30897,0.67857
0.35710,0.67857
0.35710,0.68155
0.42540,0.68155
0.42580,0.68155
0.44198,0.68155
0.44198,0.68452
0.44777,0.68452
0.44777,0.68750
0.45337,0.68750
0.45357,0.69048
0.45696,0.69048
0.45696,0.69345
0.47513,0.69345
0.47553,0.69345
0.52107,0.69345
0.52147,0.69345
0.52347,0.69345
0.52347,0.69643
0.52387,0.69643
0.52387,0.69940
0.54783,0.69940
0.54823,0.69940
0.54883,0.69940
0.54923,0.69940
0.56541,0.69940
0.56581,0.69940
0.58179,0.69940
0.58179,0.70238
0.58758,0.70238
0.58798,0.70238
0.59037,0.70238
0.59117,0.70238
0.59477,0.70238
0.59477,0.70536
0.63950,0.70536
0.63990,0.70536
0.64470,0.70536
0.64470,0.70833
0.64530,0.70833
0.64570,0.70833
0.64649,0.70833
0.64689,0.70833
0.65468,0.70833
0.65508,0.70833
0.66627,0.70833
0.66707,0.70833
0.66747,0.70833
0.66786,0.70833
0.66906,0.70833
0.66946,0.70833
0.67046,0.70833
0.67086,0.70833
0.68145,0.70833
0.68185,0.70833
0.69922,0.70833
0.69922,0.71131
0.70002,0.71131
0.70002,0.71429
0.70481,0.71429
0.70521,0.71429
0.70761,0.71429
0.70801,0.71429
0.70861,0.71429
0.70901,0.71429
0.71680,0.71429
0.71680,0.71726
0.71879,0.71726
0.71919,0.71726
0.73617,0.71726
0.73657,0.71726
0.75414,0.71726
0.75454,0.71726
0.81406,0.71726
0.81406,0.72024
0.84182,0.72024
0.84182,0.72321
0.84262,0.72321
0.84262,0.72619
0.85181,0.72619
0.85221,0.72619
0.85500,0.72619
0.85500,0.72917
0.89535,0.72917
0.89535,0.73214
0.90373,0.73214
0.90373,0.73512
0.90593,0.73512
0.90653,0.73512
0.91432,0.73512
0.91472,0.73512
0.95926,0.73512
0.95926,0.73810
0.96585,0.73810
0.96585,0.74107
0.97484,0.74107
0.97484,0.74405
0.98442,0.74405
0.98442,0.74702
0.98662,0.74702
0.98662,0.75000
0.98902,0.75000
0.98902,0.75298
0.98922,0.75298
0.98922,0.75893
0.99041,0.75893
0.99041,0.76488
0.99081,0.76488
0.99081,0.76786
0.99121,0.76786
0.99121,0.77083
0.99161,0.77083
0.99161,0.77381
0.99181,0.77381
0.99181,0.77976
0.99221,0.77976
0.99221,0.78274
0.99241,0.78274
0.99241,0.78869
0.99261,0.78869
0.99261,0.79762
0.99281,0.79762
0.99281,0.80952
0.99301,0.80952
0.99301,0.82143
0.99321,0.82143
0.99321,0.82738
0.99341,0.82738
0.99341,0.83333
0.99361,0.83333
0.99361,0.85417
0.99381,0.85417
0.99381,0.85714
0.99401,0.85714
0.99401,0.86607
0.99501,0.86607
0.99501,0.88095
0.99521,0.88095
0.99521,0.90476
0.99541,0.90476
0.99541,0.91667
0.99561,0.91667
0.99561,0.92560
0.99581,0.92560
0.99581,0.92857
0.99601,0.92857
0.99601,0.93452
0.99641,0.93452
0.99641,0.94345
0.99660,0.94345
0.99660,0.95238
0.99680,0.95238
0.99680,0.96131
0.99700,0.96131
0.99700,0.97024
0.99820,0.97024
0.99820,0.97321
0.99840,0.97321
0.99840,0.97619
0.99860,0.97619
0.99860,0.97917
0.99880,0.97917
0.99880,0.98512
0.99900,0.98512
0.99900,0.98810
0.99920,0.98810
0.99920,0.99405
0.99980,0.99405
0.99980,0.99702
1.00000,0.99702
1.00000,1.00000
