FPR_Class1,TPR_Class1
0.00000,0.00000
0.00019,0.00000
0.01960,0.00000
0.01960,0.05263
0.03167,0.05263
0.03167,0.07895
0.07766,0.07895
0.07766,0.10526
0.08784,0.10526
0.08784,0.13158
0.18586,0.13158
0.18624,0.13158
0.30330,0.13158
0.30368,0.13158
0.44958,0.13158
0.44995,0.13158
0.45127,0.13158
0.45165,0.13158
0.47634,0.13158
0.47672,0.13158
0.54345,0.13158
0.54383,0.13158
0.56927,0.13158
0.56965,0.13158
0.57908,0.13158
0.57945,0.13158
0.58435,0.13158
0.58473,0.13158
0.60264,0.13158
0.60339,0.13158
0.60415,0.13158
0.60452,0.13158
0.60490,0.13158
0.60528,0.13158
0.61320,0.13158
0.61357,0.13158
0.61904,0.13158
0.61942,0.13158
0.62300,0.13158
0.62337,0.13158
0.62978,0.13158
0.63016,0.13158
0.63280,0.13158
0.63318,0.13158
0.63657,0.13158
0.63695,0.13158
0.64260,0.13158
0.64298,0.13158
0.65580,0.13158
0.65617,0.13158
0.65693,0.13158
0.65730,0.13158
0.66089,0.13158
0.66126,0.13158
0.66880,0.13158
0.66918,0.13158
0.67389,0.13158
0.67427,0.13158
0.68483,0.13158
0.68520,0.13158
0.70311,0.13158
0.70349,0.13158
0.82300,0.13158
0.82300,0.15789
0.82884,0.15789
0.82922,0.15789
0.83808,0.15789
0.83808,0.18421
0.84656,0.18421
0.84656,0.21053
0.84788,0.21053
0.84788,0.26316
0.85071,0.26316
0.85071,0.28947
0.85957,0.28947
0.85957,0.31579
0.86258,0.31579
0.86258,0.39474
0.86258,0.42105
0.86428,0.42105
0.86428,0.44737
0.86503,0.44737
0.86503,0.47368
0.86805,0.47368
0.86805,0.50000
0.86993,0.50000
0.86993,0.52632
0.87012,0.52632
0.87050,0.52632
0.87597,0.52632
0.87597,0.55263
0.87842,0.55263
0.87842,0.57895
0.88652,0.57895
0.88652,0.60526
0.89105,0.60526
0.89105,0.63158
0.90594,0.63158
0.90594,0.65789
0.92045,0.65789
0.92045,0.68421
0.92667,0.68421
0.92667,0.71053
0.92686,0.71053
0.92686,0.73684
0.92931,0.73684
0.92931,0.76316
0.93214,0.76316
0.93214,0.78947
0.93252,0.78947
0.93252,0.81579
0.93497,0.81579
0.93497,0.84211
0.94251,0.84211
0.94251,0.86842
0.94722,0.86842
0.94722,0.89474
0.94948,0.89474
0.94948,0.92105
0.95344,0.92105
0.95344,0.94737
0.99943,0.94737
0.99943,0.97368
0.99981,0.97368
0.99981,1.00000
1.00000,1.00000
