FPR_Class4,TPR_Class4
0.00000,0.00000
0.01489,0.00000
0.02119,0.00000
0.02721,0.00054
0.03064,0.00054
0.03265,0.00108
0.03293,0.00108
0.03379,0.00216
0.03465,0.00216
0.03608,0.00216
0.03666,0.00324
0.03694,0.00540
0.03780,0.00648
0.03837,0.00918
0.03923,0.01080
0.04009,0.01297
0.04066,0.01513
0.04152,0.01621
0.04439,0.01837
0.04639,0.01945
0.04696,0.02053
0.04840,0.02107
0.04983,0.02107
0.05241,0.02161
0.05556,0.02215
0.05670,0.02323
0.05871,0.02323
0.06443,0.02431
0.06558,0.02539
0.06787,0.02593
0.06987,0.02593
0.07302,0.02701
0.07875,0.02755
0.08362,0.02755
0.08763,0.02809
0.09135,0.02971
0.09450,0.03079
0.09737,0.03133
0.10109,0.03187
0.10395,0.03241
0.10825,0.03296
0.11226,0.03404
0.11512,0.03404
0.11655,0.03458
0.11856,0.03512
0.12257,0.03566
0.12486,0.03566
0.12629,0.03836
0.12772,0.03890
0.12944,0.03890
0.13030,0.03944
0.13087,0.03944
0.13173,0.04052
0.13202,0.04160
0.13230,0.04214
0.13288,0.04214
0.13373,0.04268
0.13373,0.04376
0.13459,0.04484
0.13517,0.04646
0.13517,0.04700
0.13603,0.04808
0.13631,0.04808
0.13660,0.04862
0.13688,0.04862
0.13688,0.04916
0.13717,0.05078
0.13717,0.05132
0.13746,0.05186
0.13746,0.05402
0.13774,0.05402
0.13774,0.05457
0.13774,0.05781
0.13803,0.05889
0.13803,0.05997
0.13832,0.05997
0.13832,0.06159
0.13832,0.06267
0.13832,0.06375
0.13832,0.06483
0.13832,0.06645
0.13860,0.06645
0.13860,0.06753
0.13860,0.06915
0.13860,0.07239
0.13860,0.07563
0.13860,0.07672
0.13889,0.07726
0.13918,0.07726
0.13918,0.08050
0.13918,0.08212
0.13918,0.08374
0.13918,0.08482
0.13918,0.08536
0.13918,0.08644
0.13918,0.08698
0.13918,0.08806
0.13918,0.09022
0.13918,0.09238
0.13946,0.09238
0.13946,0.09346
0.13946,0.09454
0.13946,0.09670
0.13946,0.09778
0.13946,0.09941
0.13946,0.10103
0.13946,0.10211
0.13946,0.10373
0.13946,0.10481
0.13946,0.10805
0.13946,0.11021
0.13946,0.11183
0.13946,0.11291
0.13946,0.11345
