FPR_Class2,TPR_Class2
0.00000,0.00000
0.00000,0.00298
0.00000,0.00595
0.00020,0.00595
0.00020,0.01488
0.00040,0.01488
0.00040,0.02381
0.00100,0.02381
0.00100,0.02679
0.00120,0.02679
0.00120,0.02976
0.00140,0.02976
0.00140,0.04464
0.00200,0.04464
0.00200,0.05655
0.00240,0.05655
0.00240,0.06548
0.00280,0.06548
0.00280,0.06845
0.00300,0.06845
0.00300,0.07143
0.00320,0.07143
0.00320,0.08036
0.00359,0.08036
0.00359,0.08333
0.00459,0.08333
0.00459,0.08631
0.00479,0.08631
0.00479,0.09226
0.00499,0.09226
0.00499,0.09524
0.00539,0.09524
0.00539,0.09821
0.00559,0.09821
0.00559,0.10119
0.00579,0.10119
0.00579,0.10417
0.00599,0.10417
0.00599,0.11310
0.00659,0.11310
0.00659,0.12798
0.00679,0.12798
0.00679,0.14286
0.00819,0.14286
0.00819,0.15476
0.00919,0.15476
0.00919,0.16369
0.00959,0.16369
0.00959,0.16667
0.00999,0.16667
0.00999,0.16964
0.01039,0.16964
0.01039,0.17560
0.01178,0.17560
0.01178,0.17857
0.01218,0.17857
0.01218,0.18750
0.01258,0.18750
0.01258,0.19048
0.01298,0.19048
0.01298,0.19345
0.01338,0.19345
0.01338,0.20238
0.01378,0.20238
0.01378,0.20536
0.01398,0.20536
0.01398,0.21131
0.01458,0.21131
0.01458,0.21429
0.01518,0.21429
0.01518,0.21726
0.01558,0.21726
0.01558,0.22024
0.01598,0.22024
0.01598,0.22321
0.01638,0.22321
0.01638,0.22619
0.01658,0.22619
0.01658,0.22917
0.01698,0.22917
0.01698,0.23214
0.01718,0.23214
0.01718,0.23512
0.01797,0.23512
0.01797,0.24107
0.01837,0.24107
0.01837,0.24405
0.01937,0.24405
0.01937,0.24702
0.01957,0.24702
0.01957,0.25000
0.02057,0.25000
0.02057,0.25595
0.02077,0.25595
0.02077,0.25893
0.02117,0.25893
0.02117,0.26190
0.02137,0.26190
0.02137,0.26488
0.02197,0.26488
0.02197,0.26786
0.02217,0.26786
0.02217,0.27381
0.02257,0.27381
0.02257,0.27679
0.02437,0.27679
0.02437,0.27976
0.02536,0.27976
0.02536,0.28274
0.02616,0.28274
0.02616,0.28571
0.02716,0.28571
0.02716,0.28869
0.02776,0.28869
0.02776,0.29464
0.02796,0.29464
0.02796,0.29762
0.02836,0.29762
0.02836,0.30357
0.02856,0.30357
0.02856,0.30952
0.02936,0.30952
0.02936,0.31250
0.02976,0.31250
0.02976,0.31845
0.03016,0.31845
0.03016,0.32143
0.03096,0.32143
0.03096,0.32440
0.03136,0.32440
0.03136,0.32738
0.03176,0.32738
0.03176,0.33036
0.03275,0.33036
0.03275,0.33631
0.03435,0.33631
0.03435,0.34226
0.03495,0.34226
0.03495,0.34821
0.03515,0.34821
0.03515,0.35417
0.03555,0.35417
0.03555,0.35714
0.03835,0.35714
0.03835,0.36012
0.03934,0.36012
0.03934,0.36905
0.03954,0.36905
0.03954,0.37202
0.03974,0.37202
0.03974,0.37500
0.04014,0.37500
0.04014,0.37798
0.04194,0.37798
0.04194,0.38690
0.04234,0.38690
0.04234,0.38988
0.04474,0.38988
0.04474,0.39286
0.04494,0.39286
0.04494,0.39583
0.04534,0.39583
0.04534,0.39881
0.04773,0.39881
0.04773,0.40179
0.04793,0.40179
0.04793,0.40476
0.05073,0.40476
0.05073,0.40774
0.05113,0.40774
0.05113,0.41071
0.05233,0.41071
0.05233,0.41369
0.05273,0.41369
0.05273,0.41667
0.05472,0.41667
0.05472,0.42560
0.05492,0.42560
0.05492,0.43155
0.05532,0.43155
0.05532,0.43452
0.05712,0.43452
0.05712,0.44048
0.05812,0.44048
0.05812,0.44643
0.05932,0.44643
0.05932,0.45238
0.06111,0.45238
0.06111,0.45536
