FPR_Class3,TPR_Class3
0.00000,0.00000
0.00046,0.00000
0.00046,0.01844
0.00092,0.01844
0.00092,0.02152
0.00114,0.02152
0.00114,0.03074
0.00137,0.03074
0.00137,0.03381
0.00160,0.03381
0.00160,0.03689
0.00183,0.03689
0.00183,0.03791
0.00229,0.03791
0.00229,0.03996
0.00275,0.03996
0.00275,0.04201
0.00298,0.04201
0.00298,0.04816
0.00321,0.04816
0.00321,0.04918
0.00366,0.04918
0.00366,0.05430
0.00389,0.05430
0.00389,0.05533
0.00458,0.05533
0.00458,0.05738
0.00481,0.05738
0.00481,0.05840
0.00504,0.05840
0.00504,0.05943
0.00527,0.05943
0.00527,0.06352
0.00550,0.06352
0.00550,0.06557
0.00618,0.06557
0.00618,0.06762
0.00664,0.06762
0.00664,0.07377
0.00733,0.07377
0.00733,0.07480
0.00756,0.07480
0.00756,0.07787
0.00779,0.07787
0.00779,0.07889
0.00824,0.07889
0.00824,0.07992
0.00847,0.07992
0.00847,0.08094
0.00870,0.08094
0.00870,0.08504
0.00893,0.08504
0.00893,0.08914
0.00916,0.08914
0.00916,0.09324
0.01008,0.09324
0.01008,0.09836
0.01030,0.09836
0.01030,0.10348
0.01053,0.10348
0.01053,0.10451
0.01099,0.10451
0.01099,0.11066
0.01122,0.11066
0.01122,0.11168
0.01145,0.11168
0.01145,0.11270
0.01168,0.11270
0.01168,0.11578
0.01259,0.11578
0.01259,0.11988
0.01282,0.11988
0.01282,0.12295
0.01328,0.12295
0.01328,0.12398
0.01443,0.12398
0.01443,0.13115
0.01466,0.13115
0.01466,0.13422
0.01488,0.13422
0.01488,0.13730
0.01511,0.13730
0.01511,0.14139
0.01534,0.14139
0.01534,0.14242
0.01557,0.14242
0.01557,0.14344
0.01580,0.14344
0.01580,0.15164
0.01603,0.15164
0.01603,0.15266
0.01626,0.15266
0.01626,0.15779
0.01649,0.15779
0.01649,0.15984
0.01672,0.15984
0.01672,0.16291
0.01695,0.16291
0.01695,0.16393
0.01717,0.16393
0.01717,0.16496
0.01740,0.16496
0.01740,0.16701
0.01763,0.16701
0.01763,0.16906
0.01786,0.16906
0.01786,0.17008
0.01809,0.17008
0.01809,0.17213
0.01832,0.17213
0.01832,0.17418
0.01855,0.17418
0.01855,0.17520
0.01878,0.17520
0.01878,0.17725
0.01924,0.17725
0.01924,0.17828
0.02015,0.17828
0.02015,0.17930
0.02061,0.17930
0.02061,0.18340
0.02084,0.18340
0.02084,0.18648
0.02130,0.18648
0.02130,0.18750
0.02153,0.18750
0.02153,0.19365
0.02175,0.19365
0.02175,0.19570
0.02221,0.19570
0.02221,0.20082
0.02267,0.20082
0.02267,0.20287
0.02290,0.20287
0.02290,0.21107
0.02313,0.21107
0.02313,0.21619
0.02336,0.21619
0.02336,0.21926
0.02381,0.21926
0.02381,0.22234
0.02473,0.22234
0.02473,0.22643
0.02496,0.22643
0.02496,0.23156
0.02519,0.23156
0.02519,0.23258
0.02542,0.23258
0.02542,0.23770
0.02565,0.23770
0.02565,0.24078
0.02588,0.24078
0.02588,0.25615
