FPR_Class3,TPR_Class3
0.00000,0.00000
0.00023,0.00000
0.00023,0.01127
0.00046,0.01127
0.00046,0.01434
0.00092,0.01434
0.00092,0.01844
0.00114,0.01844
0.00114,0.02049
0.00160,0.02049
0.00160,0.02254
0.00183,0.02254
0.00183,0.03484
0.00206,0.03484
0.00206,0.04303
0.00229,0.04303
0.00229,0.04406
0.00275,0.04406
0.00275,0.04611
0.00321,0.04611
0.00321,0.04713
0.00343,0.04713
0.00343,0.04918
0.00366,0.04918
0.00366,0.05430
0.00389,0.05430
0.00389,0.05840
0.00412,0.05840
0.00412,0.05943
0.00458,0.05943
0.00458,0.06045
0.00481,0.06045
0.00481,0.06148
0.00504,0.06148
0.00504,0.06352
0.00527,0.06352
0.00527,0.06762
0.00550,0.06762
0.00550,0.06865
0.00572,0.06865
0.00572,0.06967
0.00641,0.06967
0.00641,0.07172
0.00664,0.07172
0.00664,0.07582
0.00687,0.07582
0.00687,0.07992
0.00710,0.07992
0.00710,0.08197
0.00733,0.08197
0.00733,0.08402
0.00801,0.08402
0.00801,0.08504
0.00847,0.08504
0.00847,0.08811
0.00870,0.08811
0.00870,0.09016
0.00893,0.09016
0.00893,0.09529
0.00916,0.09529
0.00916,0.09631
0.00939,0.09631
0.00939,0.09734
0.00985,0.09734
0.00985,0.10143
0.01076,0.10143
0.01076,0.10246
0.01145,0.10246
0.01145,0.10348
0.01168,0.10348
0.01168,0.10451
0.01191,0.10451
0.01191,0.10553
0.01214,0.10553
0.01214,0.10656
0.01237,0.10656
0.01237,0.11066
0.01282,0.11066
0.01282,0.11475
0.01374,0.11475
0.01374,0.11988
0.01420,0.11988
0.01420,0.12090
0.01488,0.12090
0.01488,0.12295
0.01511,0.12295
0.01511,0.12500
0.01580,0.12500
0.01580,0.12602
0.01603,0.12602
0.01603,0.12705
0.01649,0.12705
0.01649,0.12807
0.01695,0.12807
0.01695,0.13320
0.01832,0.13320
0.01832,0.13422
0.01855,0.13422
0.01855,0.13627
0.01878,0.13627
0.01878,0.14139
0.01901,0.14139
0.01901,0.15574
0.01924,0.15574
0.01924,0.15676
0.01946,0.15676
0.01946,0.15779
0.01992,0.15779
0.01992,0.15881
0.02015,0.15881
0.02015,0.16393
0.02061,0.16393
0.02061,0.16598
0.02084,0.16598
0.02084,0.16701
0.02107,0.16701
0.02107,0.16803
0.02153,0.16803
0.02153,0.16906
0.02175,0.16906
0.02175,0.17008
0.02267,0.17008
0.02267,0.17316
0.02290,0.17316
0.02290,0.17623
0.02313,0.17623
0.02313,0.17725
0.02336,0.17725
0.02336,0.18340
0.02359,0.18340
0.02359,0.18648
0.02381,0.18648
0.02381,0.18750
0.02450,0.18750
0.02450,0.19262
0.02473,0.19262
0.02473,0.19365
0.02542,0.19365
0.02542,0.19467
0.02588,0.19467
0.02588,0.19775
0.02679,0.19775
0.02679,0.19980
0.02702,0.19980
0.02702,0.20082
0.02748,0.20082
0.02748,0.20184
0.02794,0.20184
0.02794,0.20389
0.02817,0.20389
0.02817,0.20697
0.02839,0.20697
0.02839,0.20799
0.02862,0.20799
0.02862,0.20902
0.02885,0.20902
0.02885,0.21414
0.02908,0.21414
0.02908,0.21619
0.03046,0.21619
0.03046,0.22643
0.03068,0.22643
0.03068,0.22746
0.03091,0.22746
0.03091,0.23361
0.03114,0.23361
0.03114,0.23463
0.03160,0.23463
0.03160,0.23566
0.03183,0.23566
0.03183,0.23668
0.03275,0.23668
0.03275,0.24180
0.03320,0.24180
0.03320,0.24385
0.03343,0.24385
0.03343,0.24590
0.03366,0.24590
0.03366,0.24898
0.03389,0.24898
0.03389,0.25307
0.03412,0.25307
0.03412,0.25512
0.03435,0.25512
0.03435,0.25820
0.03458,0.25820
0.03458,0.26230
0.03481,0.26230
0.03481,0.26434
0.03504,0.26434
0.03504,0.26639
0.03526,0.26639
0.03526,0.26742
0.03549,0.26742
0.03549,0.26947
0.03572,0.26947
0.03572,0.27152
0.03595,0.27152
0.03595,0.27664
0.03618,0.27664
0.03618,0.27869
0.03641,0.27869
0.03641,0.27971
0.03664,0.27971
0.03664,0.28279
0.03870,0.28279
0.03870,0.28484
0.03893,0.28484
0.03893,0.28586
0.03916,0.28586
0.03916,0.28791
0.03962,0.28791
0.03962,0.28996
0.03984,0.28996
0.03984,0.29508
0.04007,0.29508
0.04007,0.29611
0.04030,0.29611
0.04030,0.29816
0.04053,0.29816
0.04053,0.30225
0.04076,0.30225
0.04076,0.30328
0.04168,0.30328
0.04168,0.30943
0.04213,0.30943
0.04213,0.31352
0.04236,0.31352
0.04236,0.31557
0.04259,0.31557
0.04259,0.31660
0.04282,0.31660
0.04282,0.31762
0.04305,0.31762
0.04305,0.32070
0.04328,0.32070
0.04328,0.33094
0.04351,0.33094
0.04351,0.33402
0.04374,0.33402
0.04374,0.33709
0.04397,0.33709
0.04397,0.33914
0.04420,0.33914
0.04420,0.34016
0.04442,0.34016
0.04442,0.34221
0.04465,0.34221
0.04465,0.34426
0.04511,0.34426
0.04511,0.34939
0.04534,0.34939
0.04534,0.35041
0.04603,0.35041
0.04603,0.35143
0.04671,0.35143
0.04671,0.35246
0.04740,0.35246
0.04740,0.35451
0.04855,0.35451
0.04855,0.35861
0.04877,0.35861
0.04877,0.35963
0.04900,0.35963
0.04900,0.36373
0.04946,0.36373
0.04946,0.36578
0.04969,0.36578
0.04969,0.36783
0.04992,0.36783
0.04992,0.36885
0.05015,0.36885
0.05015,0.37090
0.05061,0.37090
0.05061,0.37295
0.05084,0.37295
0.05084,0.37500
0.05129,0.37500
0.05129,0.37807
0.05152,0.37807
0.05152,0.37910
0.05221,0.37910
0.05221,0.38525
0.05244,0.38525
0.05244,0.38627
0.05290,0.38627
0.05290,0.38730
0.05335,0.38730
0.05335,0.38934
0.05381,0.38934
0.05381,0.39037
0.05450,0.39037
0.05450,0.39242
0.05473,0.39242
0.05473,0.39344
0.05496,0.39344
0.05496,0.39447
0.05542,0.39447
0.05542,0.39549
0.05587,0.39549
0.05587,0.39857
0.05610,0.39857
0.05610,0.40164
0.05702,0.40164
0.05702,0.40266
0.05725,0.40266
0.05725,0.40471
0.05748,0.40471
0.05748,0.40574
0.05793,0.40574
0.05793,0.40779
0.05816,0.40779
0.05816,0.41189
0.05931,0.41189
0.05931,0.41496
0.06000,0.41496
0.06000,0.41598
0.06045,0.41598
0.06045,0.41701
0.06068,0.41701
0.06068,0.42008
0.06091,0.42008
0.06091,0.42111
0.06114,0.42111
0.06114,0.42316
0.06137,0.42316
0.06137,0.42418
0.06183,0.42418
0.06183,0.42520
0.06206,0.42520
0.06206,0.42828
0.06229,0.42828
0.06229,0.42930
0.06297,0.42930
0.06297,0.43033
0.06320,0.43033
0.06320,0.43238
0.06343,0.43238
0.06343,0.43750
0.06366,0.43750
0.06366,0.44160
0.06389,0.44160
0.06389,0.44775
0.06435,0.44775
0.06435,0.45082
0.06503,0.45082
0.06503,0.45184
0.06572,0.45184
0.06572,0.45389
0.06595,0.45389
0.06595,0.45594
0.06641,0.45594
0.06641,0.45697
0.06664,0.45697
0.06664,0.45799
0.06709,0.45799
0.06709,0.45902
0.06732,0.45902
0.06732,0.46004
0.06755,0.46004
0.06755,0.46209
0.06801,0.46209
0.06801,0.46926
0.06824,0.46926
0.06824,0.47029
0.06847,0.47029
0.06847,0.47131
0.06916,0.47131
0.06916,0.47336
0.07007,0.47336
0.07007,0.47439
0.07076,0.47439
0.07076,0.47541
0.07099,0.47541
0.07099,0.47643
0.07167,0.47643
0.07167,0.47746
0.07190,0.47746
0.07190,0.47951
