FPR_Class0,TPR_Class0
0.00000,0.00000
0.00000,0.00047
0.00000,0.00373
0.00000,0.00467
0.00000,0.00607
0.00031,0.00607
0.00031,0.00700
0.00062,0.00700
0.00062,0.01447
0.00094,0.01447
0.00094,0.02148
0.00125,0.02148
0.00125,0.02241
0.00125,0.02848
0.00156,0.02848
0.00156,0.02988
0.00187,0.02988
0.00187,0.03361
0.00187,0.03455
0.00187,0.03548
0.00187,0.03688
0.00187,0.04388
0.00187,0.04482
0.00187,0.04669
0.00187,0.04809
0.00187,0.05229
0.00187,0.05415
0.00187,0.05556
0.00219,0.05556
0.00219,0.05649
0.00219,0.06069
0.00219,0.06162
0.00219,0.06723
0.00219,0.06816
0.00219,0.06863
0.00219,0.06956
0.00219,0.07190
0.00219,0.07283
0.00219,0.07330
0.00250,0.07376
0.00250,0.07470
0.00281,0.07470
0.00281,0.07890
0.00281,0.07983
0.00281,0.08123
0.00281,0.08217
0.00281,0.08310
0.00281,0.08403
0.00281,0.08450
0.00281,0.08543
0.00281,0.08917
0.00281,0.09010
0.00281,0.09057
0.00281,0.09150
0.00281,0.09290
0.00312,0.09290
0.00312,0.09570
0.00312,0.09664
0.00312,0.09851
0.00312,0.09944
0.00344,0.09991
0.00344,0.10458
0.00375,0.10458
0.00375,0.10598
0.00375,0.10691
0.00375,0.10831
0.00375,0.10924
0.00375,0.11018
0.00406,0.11111
0.00406,0.11204
0.00406,0.11298
0.00406,0.11811
0.00406,0.11905
0.00406,0.12045
0.00406,0.12138
0.00406,0.12325
0.00406,0.12465
0.00406,0.12605
0.00406,0.12698
0.00437,0.12698
0.00437,0.12838
0.00437,0.12885
0.00469,0.12885
0.00469,0.13259
0.00500,0.13259
0.00500,0.13399
0.00531,0.13445
0.00531,0.13539
0.00562,0.13585
0.00562,0.13725
0.00594,0.13725
0.00594,0.13819
0.00594,0.13959
0.00625,0.14006
0.00625,0.14753
0.00656,0.14753
0.00656,0.14799
0.00687,0.14846
0.00687,0.15640
0.00687,0.15733
0.00687,0.16713
0.00687,0.16807
0.00687,0.16853
0.00687,0.16993
0.00687,0.17134
0.00719,0.17134
0.00719,0.17180
0.00750,0.17180
0.00750,0.17367
0.00781,0.17367
0.00781,0.17647
0.00781,0.17740
0.00781,0.17834
0.00781,0.17927
0.00781,0.18347
0.00812,0.18347
0.00812,0.19001
0.00812,0.19094
0.00812,0.19141
0.00812,0.19234
0.00812,0.19374
0.00843,0.19421
0.00843,0.20121
0.00843,0.20215
0.00875,0.20215
0.00875,0.21055
0.00906,0.21055
0.00906,0.21662
0.00937,0.21662
0.00937,0.21755
0.00968,0.21755
0.00968,0.22035
0.01000,0.22035
0.01000,0.22596
0.01093,0.22596
0.01093,0.22969
0.01093,0.23063
0.01093,0.23343
0.01125,0.23343
0.01125,0.23623
0.01125,0.23716
0.01156,0.23716
0.01156,0.23903
0.01187,0.23903
0.01187,0.24230
0.01218,0.24230
0.01218,0.24370
0.01250,0.24370
0.01250,0.24697
0.01281,0.24697
0.01281,0.24837
0.01312,0.24837
0.01312,0.24930
0.01406,0.24930
0.01406,0.25117
0.01406,0.25210
0.01406,0.25257
0.01406,0.25350
0.01406,0.25490
0.01406,0.25584
0.01406,0.25817
0.01406,0.25910
0.01437,0.25910
0.01437,0.26050
0.01468,0.26050
0.01468,0.26331
0.01500,0.26331
0.01500,0.26564
0.01500,0.26657
0.01500,0.27498
0.01531,0.27498
0.01531,0.27684
0.01562,0.27684
0.01562,0.28058
0.01593,0.28058
0.01593,0.28105
0.01593,0.28198
0.01593,0.28805
0.01624,0.28805
0.01624,0.28945
0.01656,0.28945
0.01656,0.29178
0.01687,0.29178
0.01687,0.29505
0.01718,0.29505
0.01718,0.29599
0.01781,0.29599
0.01781,0.29692
0.01812,0.29692
0.01812,0.29785
0.01843,0.29785
0.01843,0.29879
0.01874,0.29879
0.01874,0.30112
0.01937,0.30112
0.01937,0.30205
0.01937,0.30299
0.01937,0.30345
0.01968,0.30345
0.01968,0.30532
0.01999,0.30532
0.01999,0.30906
0.02031,0.30906
0.02031,0.31186
0.02062,0.31186
0.02062,0.31886
0.02093,0.31886
0.02093,0.31979
0.02124,0.31979
0.02124,0.32633
0.02187,0.32633
0.02187,0.32913
0.02249,0.32913
0.02249,0.32960
0.02281,0.32960
0.02281,0.33287
0.02374,0.33287
0.02374,0.33427
0.02405,0.33427
0.02405,0.33567
0.02405,0.33660
0.02405,0.33800
0.02437,0.33800
0.02437,0.34080
0.02499,0.34080
0.02499,0.34220
0.02530,0.34220
0.02530,0.34360
0.02562,0.34360
0.02562,0.34547
0.02593,0.34547
0.02593,0.34827
0.02624,0.34827
0.02624,0.35201
0.02655,0.35201
0.02655,0.35994
0.02687,0.35994
0.02687,0.36228
0.02749,0.36228
0.02749,0.36275
0.02780,0.36275
0.02780,0.36555
0.02874,0.36555
0.02874,0.36648
0.02905,0.36648
0.02905,0.36881
0.02937,0.36881
0.02937,0.37021
0.03030,0.37021
0.03030,0.37068
0.03062,0.37068
0.03062,0.37162
0.03093,0.37162
0.03093,0.37208
0.03124,0.37208
0.03124,0.37628
0.03155,0.37628
0.03155,0.37722
0.03218,0.37722
0.03218,0.37768
0.03249,0.37768
0.03249,0.37815
0.03280,0.37815
0.03280,0.37862
0.03311,0.37862
0.03311,0.37908
0.03343,0.37908
0.03343,0.38002
0.03374,0.38049
0.03374,0.38142
0.03405,0.38142
0.03405,0.38422
0.03468,0.38422
0.03499,0.38515
0.03499,0.38562
0.03530,0.38562
0.03530,0.38842
0.03561,0.38842
0.03561,0.39029
0.03593,0.39029
0.03593,0.39076
0.03624,0.39076
0.03624,0.39122
0.03655,0.39122
0.03655,0.39216
0.03655,0.39309
0.03655,0.39356
0.03686,0.39356
0.03686,0.39496
0.03749,0.39496
0.03749,0.39542
0.03780,0.39542
0.03780,0.39729
0.03811,0.39729
0.03811,0.39776
0.03843,0.39776
0.03843,0.40196
0.03874,0.40196
0.03874,0.40430
0.03905,0.40430
0.03905,0.40476
0.03999,0.40476
0.03999,0.40523
0.04030,0.40523
0.04030,0.40616
0.04061,0.40616
0.04061,0.40663
0.04186,0.40663
0.04186,0.40756
0.04311,0.40756
0.04311,0.40943
0.04342,0.40943
0.04342,0.40990
0.04374,0.40990
0.04374,0.41176
0.04405,0.41176
0.04405,0.41317
0.04467,0.41317
0.04467,0.41597
0.04530,0.41597
0.04530,0.42157
0.04624,0.42157
0.04624,0.42204
0.04655,0.42204
0.04655,0.42717
0.04686,0.42717
0.04686,0.42810
0.04717,0.42810
0.04717,0.42857
0.04749,0.42857
0.04749,0.43044
0.04811,0.43044
0.04811,0.43324
0.04842,0.43324
0.04842,0.43464
0.04873,0.43464
0.04873,0.43604
0.04905,0.43604
0.04905,0.44211
0.04936,0.44211
0.04936,0.44351
0.04967,0.44351
0.04967,0.44725
0.04998,0.44725
0.04998,0.44771
0.05030,0.44771
0.05030,0.45238
0.05061,0.45238
0.05061,0.45285
0.05061,0.45378
0.05061,0.45425
0.05092,0.45425
0.05092,0.45565
0.05123,0.45565
0.05123,0.45938
0.05155,0.45938
0.05155,0.45985
0.05217,0.45985
0.05217,0.46032
0.05248,0.46032
0.05248,0.46078
0.05280,0.46078
0.05280,0.46452
0.05342,0.46452
0.05342,0.46545
0.05373,0.46545
0.05373,0.46639
0.05405,0.46639
0.05405,0.46685
0.05436,0.46685
0.05436,0.46732
0.05467,0.46732
0.05467,0.46779
0.05467,0.46872
0.05467,0.46965
0.05498,0.46965
0.05498,0.47012
0.05530,0.47012
0.05530,0.47059
0.05561,0.47059
0.05561,0.47246
0.05592,0.47246
0.05592,0.47479
0.05623,0.47479
0.05623,0.47712
0.05654,0.47712
0.05654,0.47759
0.05686,0.47759
0.05686,0.47852
0.05779,0.47852
0.05779,0.48133
0.05811,0.48133
0.05811,0.48179
0.05904,0.48179
0.05904,0.48553
0.05936,0.48553
0.05936,0.48739
0.05967,0.48739
0.05967,0.48973
0.05998,0.48973
0.05998,0.49160
0.06061,0.49160
0.06061,0.49300
0.06092,0.49300
0.06092,0.49393
0.06154,0.49393
0.06154,0.49580
0.06186,0.49580
0.06186,0.49767
0.06217,0.49767
0.06217,0.49813
0.06248,0.49813
0.06248,0.50093
0.06311,0.50093
0.06311,0.50140
0.06373,0.50140
0.06373,0.50233
0.06435,0.50233
0.06435,0.50327
0.06467,0.50327
0.06467,0.50514
0.06560,0.50514
0.06560,0.50747
0.06592,0.50747
0.06592,0.50840
0.06623,0.50840
0.06654,0.50887
0.06654,0.50980
0.06685,0.50980
0.06685,0.51027
0.06717,0.51027
0.06717,0.51261
0.06748,0.51261
0.06748,0.51354
0.06810,0.51354
0.06810,0.51447
0.06842,0.51447
0.06842,0.51727
0.06873,0.51727
0.06873,0.51774
0.06935,0.51774
0.06935,0.52007
0.07029,0.52007
0.07029,0.52054
0.07060,0.52054
0.07060,0.52148
0.07123,0.52148
0.07123,0.52194
