FPR_Class4,TPR_Class4
0.00000,0.00000
0.01346,0.00000
0.02062,0.00000
0.02291,0.00000
0.02463,0.00000
0.02692,0.00000
0.02864,0.00000
0.02892,0.00000
0.03036,0.00000
0.03121,0.00000
0.03236,0.00054
0.03351,0.00054
0.03608,0.00054
0.03666,0.00054
0.03723,0.00108
0.03809,0.00108
0.03809,0.00162
0.03837,0.00270
0.03837,0.00324
0.03923,0.00378
0.03981,0.00378
0.03981,0.00432
0.04038,0.00540
0.04210,0.00540
0.04238,0.00540
0.04353,0.00648
0.04410,0.00648
0.04410,0.00756
0.04410,0.00810
0.04496,0.00810
0.04553,0.00864
0.04553,0.01135
0.04553,0.01189
0.04553,0.01297
0.04582,0.01351
0.04696,0.01405
0.04754,0.01405
0.04754,0.01459
0.04811,0.01459
0.04811,0.01513
0.04840,0.01513
0.04868,0.01567
0.04983,0.01675
0.05069,0.01729
0.05155,0.01837
0.05183,0.01891
0.05212,0.01891
0.05241,0.01999
0.05269,0.01999
0.05298,0.02107
0.05355,0.02161
0.05384,0.02161
0.05441,0.02215
0.05470,0.02323
0.05470,0.02377
0.05527,0.02431
0.05556,0.02431
0.05613,0.02647
0.05670,0.02647
0.05727,0.02701
0.05813,0.02863
0.05871,0.02917
0.05985,0.02917
0.05985,0.02971
0.06014,0.02971
0.06014,0.03025
0.06042,0.03025
0.06071,0.03079
0.06186,0.03079
0.06214,0.03187
0.06243,0.03241
0.06300,0.03241
0.06357,0.03296
0.06357,0.03350
0.06415,0.03458
0.06472,0.03566
0.06586,0.03674
0.06758,0.03674
0.06787,0.03674
0.06901,0.03674
0.06959,0.03728
0.07016,0.03836
0.07159,0.03890
0.07188,0.03944
0.07274,0.03998
0.07302,0.03998
0.07417,0.04106
0.07474,0.04160
0.07675,0.04268
0.07789,0.04268
0.07990,0.04322
0.08104,0.04430
0.08305,0.04484
0.08391,0.04538
0.08505,0.04646
0.08677,0.04808
0.08734,0.04808
0.08820,0.04808
0.08849,0.04862
0.08935,0.04862
0.09107,0.04916
0.09250,0.04916
0.09307,0.04970
0.09450,0.04970
0.09536,0.04970
0.09593,0.04970
0.09765,0.05078
0.09794,0.05132
0.09851,0.05186
0.09908,0.05294
0.09966,0.05348
0.10137,0.05402
0.10252,0.05402
0.10367,0.05511
0.10452,0.05565
0.10739,0.05673
0.10825,0.05673
0.10882,0.05673
0.10968,0.05673
0.11082,0.05673
0.11140,0.05673
0.11168,0.05673
0.11254,0.05673
0.11283,0.05727
0.11369,0.05727
0.11426,0.05727
0.11426,0.05781
0.11512,0.05781
0.11741,0.05889
0.11770,0.05889
0.11770,0.05943
0.11856,0.05943
0.11884,0.05997
0.11942,0.06051
0.11999,0.06051
0.11999,0.06105
0.12056,0.06105
0.12113,0.06105
0.12142,0.06105
0.12142,0.06159
0.12171,0.06159
0.12199,0.06213
0.12342,0.06267
0.12371,0.06267
0.12371,0.06375
0.12428,0.06375
0.12428,0.06537
0.12457,0.06591
0.12543,0.06591
0.12572,0.06645
0.12572,0.06807
0.12629,0.06807
0.12629,0.06861
0.12658,0.06861
0.12686,0.06915
0.12743,0.06969
0.12743,0.07023
0.12772,0.07239
0.12772,0.07347
0.12801,0.07347
0.12887,0.07509
0.12944,0.07509
0.12944,0.07563
0.13058,0.07563
0.13058,0.07672
0.13058,0.07780
0.13058,0.07834
0.13116,0.07888
0.13116,0.07942
0.13144,0.07942
0.13173,0.07996
0.13230,0.07996
0.13230,0.08050
0.13259,0.08050
0.13259,0.08158
0.13259,0.08320
0.13259,0.08428
0.13288,0.08482
0.13288,0.08536
0.13316,0.08536
0.13316,0.08590
0.13345,0.08644
0.13345,0.08752
0.13373,0.08752
0.13373,0.08806
0.13402,0.08860
0.13431,0.08860
0.13431,0.08914
0.13459,0.08914
0.13488,0.09022
0.13488,0.09076
0.13488,0.09184
0.13517,0.09238
0.13545,0.09238
0.13545,0.09400
0.13603,0.09400
0.13603,0.09508
0.13631,0.09508
0.13631,0.09778
0.13660,0.09778
0.13660,0.10049
0.13688,0.10049
0.13688,0.10157
0.13688,0.10427
0.13717,0.10427
0.13717,0.10535
0.13746,0.10535
0.13746,0.10751
0.13746,0.10859
0.13803,0.10967
0.13832,0.10967
0.13832,0.11021
0.13832,0.11345
0.13832,0.11399
0.13860,0.11453
0.13860,0.11669
0.13860,0.11885
0.13889,0.11885
0.13889,0.12102
0.13889,0.12318
0.13918,0.12372
0.13918,0.12534
0.13946,0.12588
0.13946,0.12696
0.13946,0.12912
0.13946,0.13236
0.13975,0.13290
0.13975,0.13452
0.13975,0.13560
0.14061,0.13560
0.14061,0.13722
0.14061,0.13830
0.14061,0.13938
0.14061,0.14100
0.14061,0.14155
0.14118,0.14155
0.14118,0.14479
0.14147,0.14479
0.14147,0.14533
0.14147,0.14641
0.14147,0.14695
0.14175,0.14695
0.14175,0.14803
0.14175,0.14857
0.14204,0.14857
0.14204,0.15073
0.14204,0.15505
0.14204,0.15613
0.14204,0.15667
0.14233,0.15667
0.14233,0.15883
0.14233,0.15991
0.14261,0.16045
0.14261,0.16153
0.14261,0.16261
0.14261,0.16370
0.14290,0.16424
0.14290,0.16478
0.14290,0.16586
0.14290,0.16910
0.14290,0.17072
0.14318,0.17072
0.14318,0.17288
0.14318,0.17666
0.14318,0.17828
0.14318,0.18260
0.14318,0.18314
0.14347,0.18531
0.14347,0.18639
0.14347,0.18747
0.14347,0.18855
0.14347,0.19125
0.14347,0.19341
0.14347,0.19395
0.14347,0.19557
0.14347,0.19611
0.14347,0.19827
0.14347,0.19989
0.14347,0.20205
0.14347,0.20367
0.14347,0.20475
0.14347,0.20637
0.14347,0.20746
0.14347,0.20908
0.14347,0.20962
0.14347,0.21448
0.14347,0.21502
0.14347,0.21610
0.14347,0.21772
0.14347,0.21988
0.14347,0.22042
0.14347,0.22258
0.14347,0.22312
0.14347,0.22636
0.14347,0.22690
0.14347,0.22907
0.14347,0.23123
0.14347,0.23177
0.14347,0.23339
0.14347,0.23663
0.14347,0.23771
0.14347,0.24041
0.14347,0.24365
0.14347,0.24473
0.14347,0.24797
0.14347,0.25122
0.14347,0.25446
0.14347,0.25824
0.14404,0.26040
0.14404,0.26256
0.14404,0.26310
0.14404,0.26526
0.14404,0.26850
0.14404,0.27066
0.14404,0.27229
0.14404,0.27337
0.14404,0.27553
0.14404,0.27661
0.14404,0.27715
0.14404,0.28039
0.14404,0.28201
0.14404,0.28255
0.14404,0.28417
0.14404,0.28525
0.14404,0.28741
0.14404,0.28849
0.14404,0.28903
0.14404,0.29173
0.14404,0.29227
0.14404,0.29444
0.14404,0.29606
0.14404,0.29822
0.14433,0.30092
0.14433,0.30200
0.14433,0.30632
0.14433,0.30740
0.14433,0.30902
0.14433,0.31010
0.14433,0.31280
0.14433,0.31334
0.14433,0.31496
0.14433,0.31605
0.14433,0.31659
0.14433,0.31821
0.14462,0.32037
0.14462,0.32145
0.14462,0.32361
0.14462,0.32415
0.14462,0.32631
0.14462,0.32685
0.14462,0.33117
0.14490,0.33171
0.14490,0.33225
0.14490,0.33387
0.14490,0.33603
0.14490,0.33712
0.14490,0.33928
0.14490,0.34144
0.14490,0.34468
0.14490,0.34522
0.14519,0.34576
0.14519,0.34900
0.14519,0.35116
0.14519,0.35170
0.14519,0.35386
0.14519,0.35602
0.14519,0.35764
0.14519,0.35981
0.14519,0.36035
0.14519,0.36251
0.14519,0.36413
0.14519,0.36629
0.14519,0.36953
0.14519,0.37007
0.14519,0.37115
0.14576,0.37115
0.14576,0.37223
0.14576,0.37385
0.14576,0.37601
0.14576,0.37763
0.14576,0.37979
0.14576,0.38304
0.14576,0.38358
0.14576,0.38466
0.14576,0.38520
0.14576,0.38682
0.14576,0.38736
0.14576,0.38898
0.14576,0.38952
0.14605,0.39006
0.14605,0.39330
0.14605,0.39384
0.14605,0.39546
0.14605,0.39654
0.14605,0.39762
0.14605,0.39816
0.14605,0.39924
0.14605,0.40086
0.14605,0.40411
0.14605,0.40465
0.14605,0.40627
0.14605,0.40843
0.14605,0.41005
0.14605,0.41329
0.14605,0.41437
0.14605,0.41653
0.14605,0.41707
0.14605,0.41869
0.14605,0.42085
0.14605,0.42301
0.14605,0.42572
0.14662,0.42680
0.14662,0.42788
0.14662,0.43004
0.14662,0.43166
0.14662,0.43274
0.14662,0.43490
0.14662,0.43598
0.14662,0.43652
0.14662,0.43760
0.14662,0.43922
0.14662,0.44246
0.14691,0.44300
0.14691,0.44354
0.14691,0.44571
0.14691,0.44679
0.14691,0.44787
0.14691,0.44841
0.14691,0.44949
0.14691,0.45057
0.14691,0.45219
0.14691,0.45327
