FPR_Class1,TPR_Class1
0.00000,0.00000
0.00019,0.00000
0.00603,0.00000
0.00603,0.05263
0.04788,0.05263
0.04788,0.07895
0.17022,0.07895
0.17022,0.10526
0.20716,0.10526
0.20754,0.10526
0.37342,0.10526
0.37380,0.10526
0.38643,0.10526
0.38643,0.13158
0.46993,0.13158
0.47031,0.13158
0.47615,0.13158
0.47653,0.13158
0.51008,0.13158
0.51046,0.13158
0.52403,0.13158
0.52441,0.13158
0.53421,0.13158
0.53459,0.13158
0.53779,0.13158
0.53817,0.13158
0.56418,0.13158
0.56456,0.13158
0.58549,0.13158
0.58586,0.13158
0.59755,0.13158
0.59793,0.13158
0.61960,0.13158
0.61998,0.13158
0.62224,0.13158
0.62262,0.13158
0.62469,0.13158
0.62507,0.13158
0.65938,0.13158
0.65975,0.13158
0.66164,0.13158
0.66202,0.13158
0.66371,0.13158
0.66409,0.13158
0.67125,0.13158
0.67163,0.13158
0.71367,0.13158
0.71404,0.13158
0.72271,0.13158
0.72309,0.13158
0.73421,0.13158
0.73459,0.13158
0.73723,0.13158
0.73761,0.13158
0.74835,0.13158
0.74873,0.13158
0.75118,0.13158
0.75156,0.13158
0.77549,0.13158
0.77587,0.13158
0.77700,0.13158
0.77738,0.13158
0.79566,0.13158
0.79604,0.13158
0.79849,0.13158
0.79887,0.13158
0.87729,0.13158
0.87729,0.15789
0.87898,0.15789
0.87898,0.18421
0.87917,0.18421
0.87917,0.21053
0.87992,0.21053
0.87992,0.26316
0.88049,0.26316
0.88049,0.28947
0.88294,0.28947
0.88294,0.31579
0.88313,0.31579
0.88313,0.34211
0.88332,0.34211
0.88332,0.36842
0.88501,0.36842
0.88501,0.39474
0.88558,0.39474
0.88558,0.42105
0.88671,0.42105
0.88671,0.50000
0.88746,0.50000
0.88746,0.52632
0.88765,0.52632
0.88765,0.55263
0.88784,0.55263
0.88784,0.57895
0.88992,0.57895
0.88992,0.60526
0.89105,0.60526
0.89105,0.63158
0.89708,0.63158
0.89708,0.65789
0.90839,0.65789
0.90877,0.65789
0.92121,0.65789
0.92121,0.68421
0.92498,0.68421
0.92498,0.71053
0.93421,0.71053
0.93421,0.76316
0.93591,0.76316
0.93591,0.78947
0.94270,0.78947
0.94270,0.81579
0.94552,0.81579
0.94552,0.84211
0.94571,0.84211
0.94571,0.86842
0.95306,0.86842
0.95306,0.89474
0.96305,0.89474
0.96305,0.92105
0.96456,0.92105
0.96456,0.94737
0.99585,0.94737
0.99585,0.97368
0.99811,0.97368
0.99811,1.00000
1.00000,1.00000
