FPR,TPR
0.00000,0.00000
0.01010,0.03636
0.02020,0.20000
0.05051,0.20000
0.10101,0.38182
0.16162,0.43636
0.19192,0.47273
0.19192,0.60000
0.22222,0.65455
0.27273,0.80000
0.30303,0.80000
0.53535,0.85455
0.54545,0.85455
0.79798,0.85455
1.00000,1.00000
