Precision_Class0,Recall_Class0,F1Score_Class0,Precision_Class1,Recall_Class1,F1Score_Class1
0.78947,0.75758,0.77320,0.59322,0.63636,0.61404
0.81395,0.70707,0.75676,0.57353,0.70909,0.63415
