ModelType,Params,Precision,Recall,F1Score
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 5},0.72187,0.72727,0.72342
SVC,{'C': 0.4, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.5, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.6, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.6, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.7, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.7, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
