Epoch,Accuray,AvgLoss,BatchLoss
1,0.50330,0.08827,2.82356
2,0.68632,0.07650,2.44722
3,0.70237,0.07508,2.40177
4,0.70462,0.07494,2.39733
5,0.70551,0.07483,2.39367
1,0.46563,0.08987,2.87501
2,0.66414,0.07782,2.48943
3,0.70658,0.07486,2.39479
4,0.70467,0.07492,2.39677
5,0.71201,0.07441,2.38039
