Precision_Class0,Recall_Class0,F1Score_Class0,Precision_Class1,Recall_Class1,F1Score_Class1,Precision_Class2,Recall_Class2,F1Score_Class2,Precision_Class3,Recall_Class3,F1Score_Class3,Precision_Class4,Recall_Class4,F1Score_Class4
0.73204,0.67087,0.70012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.59164,0.49283,0.53773,0.72159,0.99838,0.83772
0.76493,0.66993,0.71429,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.59501,0.56148,0.57775,0.72506,0.99730,0.83966
